Type,Title,Content,Sender_brand,Topic_category,Suspicion_level,LLM_likeness,Language_style,Phishing_technique,Is_Phishing,Model_Source,Text
E-mail,Wazne: Zaleglosc w oplatach za abonament,"Szanowny Kliencie, przypominamy o nieuregulowanej platnosci za fakture numer FV/2025/01/8492 dotyczaca uslug telekomunikacyjnych T-Mobile, ktorej termin platnosci minal 3 dni temu. Prosimy o jak najszybsze dokonanie wplaty kwoty 129,00 PLN na indywidualny numer rachunku bankowego wskazany na fakturze, aby uniknac naliczenia odsetek ustawowych za zwloke oraz ewentualnego ograniczenia swiadczenia uslug wychodzacych. Jezeli wplata zostala juz dokonana, prosimy o zignorowanie tego przypomnienia, poniewaz ksiegowanie srodkow miedzy bankami moze zajac do 2 dni roboczych. Aktualne saldo swojego konta oraz historie platnosci mozesz sprawdzic w aplikacji mobilnej Moj T-Mobile lub logujac sie do serwisu iBOA na naszej stronie internetowej. W przypadku trudnosci z oplaceniem rachunku, zachecamy do kontaktu z Biurem Obslugi Klienta w celu ustalenia dogodnego harmonogramu splat.",T-Mobile,Payment / refund,1,1,very correct corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] T-Mobile
[TITLE] Wazne: Zaleglosc w oplatach za abonament
[CONTENT] Szanowny Kliencie, przypominamy o nieuregulowanej platnosci za fakture numer FV/2025/01/8492 dotyczaca uslug telekomunikacyjnych T-Mobile, ktorej termin platnosci minal 3 dni temu. Prosimy o jak najszybsze dokonanie wplaty kwoty 129,00 PLN na indywidualny numer rachunku bankowego wskazany na fakturze, aby uniknac naliczenia odsetek ustawowych za zwloke oraz ewentualnego ograniczenia swiadczenia uslug wychodzacych. Jezeli wplata zostala juz dokonana, prosimy o zignorowanie tego przypomnienia, poniewaz ksiegowanie srodkow miedzy bankami moze zajac do 2 dni roboczych. Aktualne saldo swojego konta oraz historie platnosci mozesz sprawdzic w aplikacji mobilnej Moj T-Mobile lub logujac sie do serwisu iBOA na naszej stronie internetowej. W przypadku trudnosci z oplaceniem rachunku, zachecamy do kontaktu z Biurem Obslugi Klienta w celu ustalenia dogodnego harmonogramu splat."
SMS,Brak,"Allianz: Polisa turystyczna wygasa za 3 dni. Oplac skladke online, aby uniknac przerwy w ochronie.",Allianz,Insurance,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] Allianz
[TITLE] Brak
[CONTENT] Allianz: Polisa turystyczna wygasa za 3 dni. Oplac skladke online, aby uniknac przerwy w ochronie."
SMS,Brak,"ING: Nowe urzadzenie dodane do zaufanych. Jesli to nie Ty, usun je natychmiast logujac sie przez ten link: [ing-bezpieczenstwo-login.com/del/29L1](https://www.google.com/search?q=https://ing-bezpieczenstwo-login.com/del/29L1)",ING,Data / certificate update,5,3,formal-corporate,fake security update,True,gemini_3,"[TYPE] SMS
[SENDER] ING
[TITLE] Brak
[CONTENT] ING: Nowe urzadzenie dodane do zaufanych. Jesli to nie Ty, usun je natychmiast logujac sie przez ten link: [ing-bezpieczenstwo-login.com/del/29L1](https://www.google.com/search?q=https://ing-bezpieczenstwo-login.com/del/29L1)"
E-mail,PKO BP: Zablokowano dostep do iPKO,"Drodzy Klienci, informujemy, ze dostep do bankowosci elektronicznej iPKO zostal zablokowany z powodu trzykrotnego wprowadzenia blednego hasla maskowanego podczas proby logowania. Aby odzyskac dostep do konta i zresetowac haslo, nalezy przejsc proces weryfikacji tozsamosci online. Skorzystaj z ponizszego linku, aby rozpoczac procedure: ipko-pl-odzyskiwanie-hasla.org/reset/10L3 . Wymagane bedzie podanie numeru klienta oraz kodu z narzedzia autoryzacyjnego. Pamietaj, ze bank nigdy nie prosi o podawanie pelnego hasla telefonicznie. Jesli nie probowales sie logowac, mozliwe, ze ktos probuje przejac Twoje konto. Dzialaj szybko, aby zabezpieczyc swoje finanse.",PKO BP,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] PKO BP
[TITLE] PKO BP: Zablokowano dostep do iPKO
[CONTENT] Drodzy Klienci, informujemy, ze dostep do bankowosci elektronicznej iPKO zostal zablokowany z powodu trzykrotnego wprowadzenia blednego hasla maskowanego podczas proby logowania. Aby odzyskac dostep do konta i zresetowac haslo, nalezy przejsc proces weryfikacji tozsamosci online. Skorzystaj z ponizszego linku, aby rozpoczac procedure: ipko-pl-odzyskiwanie-hasla.org/reset/10L3 . Wymagane bedzie podanie numeru klienta oraz kodu z narzedzia autoryzacyjnego. Pamietaj, ze bank nigdy nie prosi o podawanie pelnego hasla telefonicznie. Jesli nie probowales sie logowac, mozliwe, ze ktos probuje przejac Twoje konto. Dzialaj szybko, aby zabezpieczyc swoje finanse."
SMS,Brak,Gratulacje! Wygrales nowego iPhone 15 w loterii Media Expert. Odbierz nagrode wypelniajac formularz: [mediaexpert-nagrody-lotto.com/win/9281](https://www.google.com/search?q=https://mediaexpert-nagrody-lotto.com/win/9281),Media Expert,Prize / lottery / voucher,5,2,rushed-marketing,fake prize / win,True,gemini_3,"[TYPE] SMS
[SENDER] Media Expert
[TITLE] Brak
[CONTENT] Gratulacje! Wygrales nowego iPhone 15 w loterii Media Expert. Odbierz nagrode wypelniajac formularz: [mediaexpert-nagrody-lotto.com/win/9281](https://www.google.com/search?q=https://mediaexpert-nagrody-lotto.com/win/9281)"
SMS,Brak,"InPost: Kurier nie mogl doreczyc paczki. Brak numeru telefonu odbiorcy. Uzupelnij dane, aby otrzymac kod odbioru: [inpost-baza-danych.com/edit/39K2](https://www.google.com/search?q=https://inpost-baza-danych.com/edit/39K2)",InPost,Parcel tracking,4,3,formal-corporate,urgent verification + fake link,True,gemini_3,"[TYPE] SMS
[SENDER] InPost
[TITLE] Brak
[CONTENT] InPost: Kurier nie mogl doreczyc paczki. Brak numeru telefonu odbiorcy. Uzupelnij dane, aby otrzymac kod odbioru: [inpost-baza-danych.com/edit/39K2](https://www.google.com/search?q=https://inpost-baza-danych.com/edit/39K2)"
SMS,Brak,X-KOM: Twoje zamowienie nr 829103928 zostalo wyslane. Sledz przesylke na stronie przewoznika. Zyczymy zadowolenia.,x-kom,Parcel tracking,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] x-kom
[TITLE] Brak
[CONTENT] X-KOM: Twoje zamowienie nr 829103928 zostalo wyslane. Sledz przesylke na stronie przewoznika. Zyczymy zadowolenia."
E-mail,Ostrzezenie: Nieznane logowanie Google,"Witaj, systemy bezpieczenstwa Google zablokowaly probe logowania na Twoje konto z nieznanego urzadzenia w lokalizacji Bangkok, Tajlandia. Data: 25 stycznia 2025. Poniewaz istnieje ryzyko, ze ktos poznal Twoje haslo, zalecamy jego natychmiastowa zmiane. Kliknij w ponizszy link, aby zabezpieczyc konto: google-security-check-alert.net/reset/10M3 . Jesli nie podejmiesz dzialan, Twoje konto moze zostac przejete przez hakerow. Dbaj o swoje dane.",Inny,Login / verification,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Ostrzezenie: Nieznane logowanie Google
[CONTENT] Witaj, systemy bezpieczenstwa Google zablokowaly probe logowania na Twoje konto z nieznanego urzadzenia w lokalizacji Bangkok, Tajlandia. Data: 25 stycznia 2025. Poniewaz istnieje ryzyko, ze ktos poznal Twoje haslo, zalecamy jego natychmiastowa zmiane. Kliknij w ponizszy link, aby zabezpieczyc konto: google-security-check-alert.net/reset/10M3 . Jesli nie podejmiesz dzialan, Twoje konto moze zostac przejete przez hakerow. Dbaj o swoje dane."
SMS,Brak,InPost: Kurier nie mogl doreczyc paczki. Brak kodu domofonu. Uzupelnij dane w formularzu: [inpost-adresy-korekta-dostawy.com/fix/82L1](https://www.google.com/search?q=https://inpost-adresy-korekta-dostawy.com/fix/82L1),InPost,Parcel tracking,4,3,formal-corporate,urgent verification + fake link,True,gemini_3,"[TYPE] SMS
[SENDER] InPost
[TITLE] Brak
[CONTENT] InPost: Kurier nie mogl doreczyc paczki. Brak kodu domofonu. Uzupelnij dane w formularzu: [inpost-adresy-korekta-dostawy.com/fix/82L1](https://www.google.com/search?q=https://inpost-adresy-korekta-dostawy.com/fix/82L1)"
E-mail,Ostrzeżenie: Próba wyłudzenia kredytu,"Biuro Informacji Kredytowej informuje o wpłynięciu zapytania kredytowego na Twoje dane osobowe z instytucji pożyczkowej ""Szybka Kasa"" na kwotę 50 000 PLN. Jeśli nie składałeś w dniu dzisiejszym żadnych wniosków kredytowych, istnieje wysokie prawdopodobieństwo, że Twoje dane zostały skradzione i są wykorzystywane przez przestępców do wyłudzenia środków. W celu natychmiastowego zablokowania wniosku i ochrony swojej zdolności kredytowej, skorzystaj z naszego formularza zgłoszeniowego: bik-ochrona-tozsamosci.net/alert/9s2d1c. Czas reakcji jest kluczowy, aby zapobiec zadłużeniu.",Inny,Account block warning,5,5,official-bureaucratic,urgent verification + fake link,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Ostrzeżenie: Próba wyłudzenia kredytu
[CONTENT] Biuro Informacji Kredytowej informuje o wpłynięciu zapytania kredytowego na Twoje dane osobowe z instytucji pożyczkowej ""Szybka Kasa"" na kwotę 50 000 PLN. Jeśli nie składałeś w dniu dzisiejszym żadnych wniosków kredytowych, istnieje wysokie prawdopodobieństwo, że Twoje dane zostały skradzione i są wykorzystywane przez przestępców do wyłudzenia środków. W celu natychmiastowego zablokowania wniosku i ochrony swojej zdolności kredytowej, skorzystaj z naszego formularza zgłoszeniowego: bik-ochrona-tozsamosci.net/alert/9s2d1c. Czas reakcji jest kluczowy, aby zapobiec zadłużeniu."
