Type,Title,Content,Sender_brand,Topic_category,Suspicion_level,LLM_likeness,Language_style,Phishing_technique,Is_Phishing,Model_Source,Text
SMS,Brak,Odbierz paczkę z numerem 3507K4P9M2L1 w placówce InPost w godzinach od 8:00 do 20:00. Potwierdzenie numeru paczki wystarczy w aplikacji.,InPost,Parcel pickup,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] InPost
[TITLE] Brak
[CONTENT] Odbierz paczkę z numerem 3507K4P9M2L1 w placówce InPost w godzinach od 8:00 do 20:00. Potwierdzenie numeru paczki wystarczy w aplikacji."
SMS,Brak,Śledzenie przesyłki nr ZW8X9P2Q7R4T zakończone sukcesem. Odbierz ją w najbliższym punkcie DPD do 30 kwietnia. Sprawdź status w aplikacji.,DPD,Parcel tracking,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] DPD
[TITLE] Brak
[CONTENT] Śledzenie przesyłki nr ZW8X9P2Q7R4T zakończone sukcesem. Odbierz ją w najbliższym punkcie DPD do 30 kwietnia. Sprawdź status w aplikacji."
SMS,Brak,Twoja paczka o numerze 1Z68X9Y2P3Q4R5 dotarła do odbioru w placówce Poczty Polskiej. Dostępny od poniedziałku do piątku w godzinach 9:00-18:00.,Poczta Polska,Parcel pickup,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] Poczta Polska
[TITLE] Brak
[CONTENT] Twoja paczka o numerze 1Z68X9Y2P3Q4R5 dotarła do odbioru w placówce Poczty Polskiej. Dostępny od poniedziałku do piątku w godzinach 9:00-18:00."
SMS,Brak,Transakcja nr ORD-784K92P3M1 została przetworzona. Dołączony paragon w aplikacji Allegro. W razie pytań prosimy o kontakt z obsługą klienta.,Allegro,Payment / refund,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] Allegro
[TITLE] Brak
[CONTENT] Transakcja nr ORD-784K92P3M1 została przetworzona. Dołączony paragon w aplikacji Allegro. W razie pytań prosimy o kontakt z obsługą klienta."
SMS,Brak,Zgłoszenie nr 20250119-947281 zostało przyjęte. Twoja oferta na OLX jest już aktywna i widoczna dla potencjalnych kupujących.,OLX,Data / certificate update,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] OLX
[TITLE] Brak
[CONTENT] Zgłoszenie nr 20250119-947281 zostało przyjęte. Twoja oferta na OLX jest już aktywna i widoczna dla potencjalnych kupujących."
SMS,Brak,Zalogowano się do konta mBank w godzinach 14:12. Dane logowania potwierdzone. W razie nieprawidłowości prosimy o kontakt z biurem obsługi.,mBank,Login / verification,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] mBank
[TITLE] Brak
[CONTENT] Zalogowano się do konta mBank w godzinach 14:12. Dane logowania potwierdzone. W razie nieprawidłowości prosimy o kontakt z biurem obsługi."
SMS,Brak,"Powiadomienie o zmianie adresu e‑mail na Twoim koncie PKO BP. Nowy adres: klient@pkobp.pl. Jeśli nie wprowadzałeś zmian, zgłoś incydent.",PKO BP,Account block warning,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] PKO BP
[TITLE] Brak
[CONTENT] Powiadomienie o zmianie adresu e‑mail na Twoim koncie PKO BP. Nowy adres: klient@pkobp.pl. Jeśli nie wprowadzałeś zmian, zgłoś incydent."
SMS,Brak,Portfel inwestycyjny w ING został zaktualizowany o nowe instrumenty. Sprawdź szczegóły na koncie internetowym ING.,ING,Investments,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] ING
[TITLE] Brak
[CONTENT] Portfel inwestycyjny w ING został zaktualizowany o nowe instrumenty. Sprawdź szczegóły na koncie internetowym ING."
SMS,Brak,Polisa ubezpieczeniowa nr 1234567890 w Millennium została odnowiona. Wartość ochrony: 200 000 PLN.,Millennium,Insurance Inny,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] Millennium
[TITLE] Brak
[CONTENT] Polisa ubezpieczeniowa nr 1234567890 w Millennium została odnowiona. Wartość ochrony: 200 000 PLN."
SMS,Brak,ZUS przesłał powiadomienie o wniosku na emeryturę. Numer zgłoszenia: 9876543210. Dokumenty dostępne w aplikacji Pekao.,Pekao,US/ZUS notification,1,1,formal-corporate,brak,False,gpt-oss-20b,"[TYPE] SMS
[SENDER] Pekao
[TITLE] Brak
[CONTENT] ZUS przesłał powiadomienie o wniosku na emeryturę. Numer zgłoszenia: 9876543210. Dokumenty dostępne w aplikacji Pekao."
SMS,Brak,Uwaga! Twoje konto PKO BP zostało zablokowane. Potwierdź dane logowania pod linkiem https://secure-pko-bp-login.com/weryfikacja/74928163 aby uniknąć utraty środków.,PKO BP,Account block warning,5,5,rushed-marketing,account block threat,True,gpt-oss-20b,"[TYPE] SMS
[SENDER] PKO BP
[TITLE] Brak
[CONTENT] Uwaga! Twoje konto PKO BP zostało zablokowane. Potwierdź dane logowania pod linkiem https://secure-pko-bp-login.com/weryfikacja/74928163 aby uniknąć utraty środków."
